Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,N/A,Non-Calcite,11.04% faster,1858,1731,47,41,14.63%,53.04467419020915,47.187758756499925,12.41%,33.749082998838276,31.180958991171792,8.24%,325.81258402206004,218.70395800215192,48.97%,71,66,7.58%,200,190,5.26%,14.059047529315535,13.732535207038227,2.38%,0,0
PPL Query: cloudtrail/01_count_all,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | stats count() as `Event Count`,Non-Calcite,3.99% faster,119,101,40,39,2.56%,44.281139405113606,42.51270749436756,4.16%,33.749082998838276,31.180958991171792,8.24%,186.7558330122847,194.40249999752268,-3.93%,59,53,11.32%,170,170,0.00%,0.9004449171090144,0.8012628861414564,12.38%,0,0
PPL Query: cloudtrail/02_count_all_span_30d,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() by span(@timestamp, 30d)",Non-Calcite,16.99% faster,123,106,42,38,10.53%,53.92469816871472,44.76303925500515,20.47%,34.580000006826594,31.98758402140811,8.10%,288.4894169983454,182.2350419824943,58.31%,170,58,193.10%,230,180,27.78%,0.9307119731462922,0.8409293656534097,10.68%,0,0
PPL Query: cloudtrail/03_count_all_1,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | stats count() as Count by `aws.cloudtrail.userIdentity.accountId` | eval `Account Id` = CAST(`aws.cloudtrail.userIdentity.accountId` AS STRING) | sort - Count | head 10,Non-Calcite,6.88% faster,119,123,52,46,13.04%,56.80134488165011,52.89419648891534,7.39%,45.083749981131405,38.31220799474977,17.67%,216.07591700740159,218.4582909976598,-1.09%,68,64,6.25%,200,200,0.00%,0.9004449171090144,0.9757953959940509,-7.72%,0,0
PPL Query: cloudtrail/04_count_all_2,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventCategory` | SORT - Count | HEAD 5,Non-Calcite,13.10% faster,129,127,42,38,10.53%,48.12245769606716,41.820045275747496,15.07%,37.40366600686684,31.95245799724944,17.06%,201.55595798860304,197.74899998446926,1.93%,61,51,19.61%,190,170,11.76%,0.9761125572022089,1.0075285796036135,-3.12%,0,0
PPL Query: cloudtrail/05_count_all_3,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.awsRegion` | SORT - Count | HEAD 10,Calcite,2.72% faster,116,124,43,39,10.26%,47.01284233331158,48.32588744325368,-2.72%,36.42579200095497,32.00845798710361,13.80%,208.87891697930172,217.43158300523646,-3.93%,56,150,-62.67%,190,200,-5.00%,0.8777446250810561,0.9837286918964415,-10.77%,0,0
PPL Query: cloudtrail/06_count_all_4,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventName` | SORT - Count | HEAD 10,Non-Calcite,16.94% faster,111,100,45,39,15.38%,57.52038623459075,47.77792668843176,20.39%,34.141499985707924,32.08179198554717,6.42%,249.87237501773052,184.18712497805245,35.66%,180,180,0.00%,200,180,11.11%,0.8399108050344588,0.7933295902390657,5.87%,0,0
PPL Query: cloudtrail/07_count_all_5,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventSource` | SORT - Count | HEAD 10,Non-Calcite,16.57% faster,147,114,44,39,12.82%,51.0422437824784,42.58298051692627,19.87%,36.085959000047296,31.348666991107166,15.11%,201.62108301883563,182.1897090121638,10.67%,73,55,32.73%,190,160,18.75%,1.112314309369959,0.9043957328725349,22.99%,0,0
PPL Query: cloudtrail/08_count_all_where_not,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE NOT (aws.cloudtrail.sourceIPAddress LIKE '%.amazon%.com%' OR aws.cloudtrail.sourceIPAddress LIKE 'AWS%') | STATS count() as Count by aws.cloudtrail.sourceIPAddress | SORT - Count | HEAD 10,Non-Calcite,10.20% faster,132,105,50,45,11.11%,56.71165124217761,50.92630201778818,11.36%,43.19587501231581,37.889250001171604,14.01%,243.77970900968648,209.40604101633653,16.41%,68,69,-1.45%,210,190,10.53%,0.9988128492301672,0.832996069751019,19.91%,0,0
PPL Query: cloudtrail/09_count_all_6,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName, aws.cloudtrail.userIdentity.accountId, aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.type | rename aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName as `User Name`, aws.cloudtrail.userIdentity.accountId as `Account Id`, aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.type as `Type` | SORT - Count | HEAD 10",Non-Calcite,11.08% faster,138,116,57,50,14.00%,64.38273279649286,57.25060348099917,12.46%,49.65162498410791,42.84166599973105,15.90%,218.1194580043666,201.8270829867106,8.07%,91,79,15.19%,220,190,15.79%,1.044213433286084,0.9202623246773163,13.47%,0,0
PPL Query: cloudtrail/10_count_all_where_isnotnull,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | parse `aws.cloudtrail.eventSource` ""(?<service>s3.*)"" | WHERE isnotnull(service) and `errorCode`=""AccessDenied"" | STATS count() as Count",Non-Calcite,12.67% faster,132,113,48,40,20.00%,53.69045804422278,46.89039854874702,14.50%,40.32154200831428,32.467458018800244,24.19%,202.73987500695512,195.1834579813294,3.87%,71,71,0.00%,190,190,0.00%,0.9988128492301672,0.8964624369701443,11.42%,0,0
PPL Query: cloudtrail/11_count_all_where_eventsource,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""s3%"" | stats count() as Count by `aws.cloudtrail.requestParameters.bucketName` | sort - Count | head 10",Non-Calcite,19.77% faster,118,130,46,39,17.95%,54.02765574670689,43.346969538833946,24.64%,38.21724999579601,31.384709000121802,21.77%,244.56258298596367,188.0324579833541,30.06%,89,52,71.15%,200,180,11.11%,0.892878153099695,1.0313284673107854,-13.42%,0,0
PPL Query: cloudtrail/12_count_all_where_eventsource_1,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE `aws.cloudtrail.eventSource` like 's3%' and not (`aws.cloudtrail.eventName` like 'Get%' or `aws.cloudtrail.eventName` like 'Describe%' or `aws.cloudtrail.eventName` like 'List%' or `aws.cloudtrail.eventName` like 'Head%') | STATS count() as Count by `aws.cloudtrail.eventName`, `aws.cloudtrail.requestParameters.bucketName` | RENAME `aws.cloudtrail.eventName` as `Event`, `aws.cloudtrail.requestParameters.bucketName` as `Bucket Name` | SORT - Count | HEAD 100",Non-Calcite,11.96% faster,124,125,48,40,20.00%,52.182674031956275,45.94412304600701,13.58%,40.52270800457336,32.15291700325906,26.03%,325.81258402206004,194.27200002246536,67.71%,62,67,-7.46%,180,190,-5.26%,0.9382787371556116,0.9916619877988322,-5.38%,0,0
PPL Query: cloudtrail/13_count_all_where_eventsource_2,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""ec2%"" and (`aws.cloudtrail.eventName` = ""RunInstances"" or `aws.cloudtrail.eventName` = ""TerminateInstances"" or `aws.cloudtrail.eventName` = ""StopInstances"") and not (`aws.cloudtrail.eventName` like ""Get%"" or `aws.cloudtrail.eventName` like ""Describe%"" or `aws.cloudtrail.eventName` like ""List%"" or `aws.cloudtrail.eventName` like ""Head%"") | stats count() as Count by `aws.cloudtrail.eventName` | sort - Count | head 5",Non-Calcite,2.15% faster,106,113,48,40,20.00%,51.961064066041594,50.841418876615556,2.20%,40.14787499909289,32.54124999511987,23.38%,211.99387501110323,203.59829100198112,4.12%,65,170,-61.76%,190,200,-5.00%,0.8020769849878616,0.8964624369701443,-10.53%,0,0
PPL Query: cloudtrail/14_count_all_where_eventsource_3,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE `aws.cloudtrail.eventSource` = 'ec2*' and not (`aws.cloudtrail.eventName` = 'Get*' or `aws.cloudtrail.eventName` = 'Describe*' or `aws.cloudtrail.eventName` = 'List*' or `aws.cloudtrail.eventName` = 'Head*') | STATS count() as Count by `aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName` | SORT - Count | HEAD 10,Non-Calcite,7.12% faster,103,133,47,39,20.51%,48.86933786537978,45.389417895681355,7.67%,39.75358299794607,32.09462499944493,23.86%,174.0494589903392,201.50879200082272,-13.63%,57,70,-18.57%,72,190,-62.11%,0.7793766929599032,1.0551283550179573,-26.13%,0,0
